Day,Month,Year,States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
2,1,2016,Madhya Pradesh,25.2,17.6,20.4,63.6,134.2,128.2,97.6,77.4,32.6,39,122.4,99,66.4,71.6,90.6,60.25,34.8,226,13.8,11.2,19.2,23
2,1,2016,Maharashtra,28.5,26.5,29,69.5,146.5,154,114.5,84.5,30,36,116.5,103,83.5,86.5,91,67,43.5,235,17,20,26.5,30
2,1,2016,Odisha,24.5,21,23,64.25,133.25,130.25,98.5,73.5,34.5,34,,113.5,54,80.5,92.25,63.25,37,180,17,12.75,23.25,26.25
2,1,2016,Puducherry,28,32,26,72,160,160,115,90,32,36,123,119,82,,87,54,45,250,17,20,22,35
2,1,2016,Tamil Nadu,29.6,31.4,27.5,71.4,154.6,161.2,108.2,92.5,33,36,127.8,137,82,88,92,59,45,216,16.6,20.4,23.6,32
2,1,2016,Telangana,27.33,27.17,29,65.33,155.33,158.83,113.17,83.83,29.83,39.83,113.33,112.25,68.33,86.33,89.67,59.67,42,182,13,20.33,25.17,32.33
2,1,2016,Uttarakhand,22.5,20.75,22,70.5,140.5,121.25,113.75,102.25,31.5,38,133.75,93.25,77.5,84.5,107,,35,221.25,17,15.5,25.75,30.5
2,1,2016,West Bengal,29,20,22.5,71.5,146,116,111,89,35,34,136,120,67,78.5,98,63,39,140,9.5,9.5,27.5,21.5
3,1,2016,Average Price,26.79,23.21,23.97,67.92,147.18,140.49,106.54,84.21,31.9,38.71,122.89,107.85,70.67,79.9,92.86,60.48,39.92,207.05,15.67,15.31,23.44,30.38
3,1,2016,Maximum Price,34,35,31,80,166,172,130,105,38,48,147,148,93,89,110,76,53,284,20,22,30,45
3,1,2016,Minimum Price,22,15,19,56,120,112,90,70,26,28,104,80,53,60,82,52,29,125,9,8,11,15
3,1,2016,Modal Price,30,20,22,70,160,120,110,80,31,38,135,95,59.5,87,92,58,38,180,17,16,25,35
3,1,2016,Andhra Pradesh,28,26,27,72,160,163,118,90,29,39,113,109,74,,89,59,46,183,12,16,21,24
3,1,2016,Delhi,29,19,21,73,161,144,104,87,33,38,147,136,76,86,105,,44,201,17,13,28,41
3,1,2016,Gujarat,24.75,20.5,23.5,70.5,132,143.75,105,75.75,29.5,46.5,109,88,58.25,75,84.5,56.25,44.25,276,16.5,12.5,21.5,24.75
3,1,2016,Haryana,26.5,17.75,21.25,64.25,159.75,128.25,96.75,82.5,31.75,45.5,122.75,100.5,73,83,97,71,38.25,180,17.75,12.75,23.25,30.5
